Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Meine Mutter denkt, dass das alles kein Beinbruch ist und dass überhaupt kein Anlass besteht, sich so theatralisch aufzuführen.		
Innerhalb von drei Monaten nehme ich zwei Jobs an, die ich umgehend wieder hinschmeiße: zuerst als Lehrplanentwickler bei Berlitz, dem weltgrößten Verlag für Fremdsprachenmaterialien. Dann als Analyst bei einem Dreipersonen-Institut, das Forschungen über politisches Asyl betreibt.		
Ich kehre in die USA zurück, beschließe, Kickboxen zu lernen, und gewinne vier Wochen später die amerikanischen Meisterschaften mit dem hässlichsten und unorthodoxesten Stil aller Zeiten.		
Mein Selbstvertrauen ist wiederhergestellt und meine Abschlussarbeit ist nicht einmal in Gedanken angefangen.		
Mein Leben ist nicht zu Ende, und wie es aussieht, hat das Jahr meiner Abwesenheit sich zu meinen Gunsten ausgewirkt.		
Ich stelle fest, dass man von der Produktion bis zur Werbung alles outsourcen kann.		
Irgendwie habe ich mir da selbst ins Knie geschossen.		
Ich gönne mir und meiner Familie einen einwöchigen "Urlaub" in Florenz, wo ich jeden Tag zehn Stunden lang in einem Internetcafé sitze und ausraste.		
Kurz darauf versuchen beide Unternehmen, mein Produkt zu kopieren, und verlieren dabei Millionen von Dollars.		
Ich komme zu der Erkenntnis, dass ich da herauskommen muss, bevor ich überschnappe wie Howard Hughes.		
Ich lande in London und will nach Spanien weiterfliegen, um dort vier Wochen lang meine Batterien wieder aufzuladen, bevor ich in die Tretmühle zurückkehre.		
Meine Erholung beginnt damit, dass ich am ersten Morgen prompt einen Nervenzusammenbruch erleide.		
Aus vier Wochen werden acht, und ich beschließe, auf unbestimmte Zeit in Übersee zu bleiben, um dort ein Diplom in "Automatisierung und Experimentaler Lebensweise" zu erwerben.		
Zu diesem Zweck beschränke ich das Lesen und Beantworten von E-Mails auf eine Stunde jeden Montagmorgen.		
Sobald ich mich auf diese Weise selbst aus meinem Unternehmen entfernt habe, steigen die Profite um 40 Prozent.		
Große finanzielle Reserven haben, aber sich darüber im Klaren sein, dass die meisten materiellen Bedürfnisse nur eine Ausrede dafür sind, Zeit mit Dingen zu verschwenden, die nicht wirklich wichtig sind.		
Hier ist ein kleines Geheimnis, das ich bisher meistens für mich behalten habe: Das alles hat weniger gekostet als die Miete in den USA.		
Sobald Sie über Zeit und Ort frei verfügen können, ist Ihr Geld automatisch drei- bis zehnmal so viel wert.		
Millionär zu sein und die Möglichkeit zu haben, wie ein Millionär zu leben, sind zwei völlig verschiedene Dinge.		
Wenn Sie der Bewegung beitreten wollen, sollten Sie sich einen neuen Wortschatz aneignen.		
Das kann zum Beispiel heißen, Verantwortlichkeiten umzukehren oder die herkömmliche Definition von "Erfolg" über Bord zu werfen.		
Die Zivilisation hatte zu viele Regeln für mich, also habe ich mein Bestes getan, sie umzuschreiben.	umschreiben= rewrite	
Inzwischen ist Dale im Land der Kängurus und Koalas sogar auf andere Art verewigt. Die Post hat neben der Elvis-Presley-Gedenkausgabe auch Briefmarken mit seinem Konterfei herausgebracht.		
Ruhm hat seine schönen Seiten, genau wie der Blick über den Tellerrand der angebotenen Wahlmöglichkeiten.		
Es gibt immer mehrere Optionen, und die müssen einander nicht ausschließen.		
Einige Menschen sind noch immer davon überzeugt, dass ein bisschen mehr Geld all ihren Sorgen ein Ende bereiten würde.		
Julies Ziel hingegen war nachvollziehbar: Sie wollte mit der gleichen Anzahl Kinder zurückkommen, mit der sie losgefahren war.		
In zwölf Stunden würden sie alle wieder zurück in Paris sein, gesund und wohlbehalten.	gesund und wohlbehalten= safe und sound	
Natürlich nur unter der Voraussetzung, dass das Flugzeug nicht unterwegs auseinanderfiel.		
Immer wieder gab es neue Gründe dafür, den Trip aufzuschieben.		
Die Gründe, zu Hause zu bleiben - berechtigt oder nicht -, würden einfach immer zahlreicher werden, und irgendwann würde es nicht mehr möglich sein, sich selbst davon zu überzeugen, dass ein Entfliehen möglich war.		
Überlisten Sie das Spiel, anstatt nur mitzuspielen. 	überlisten= outwit	
Seien Sie nicht dumm, sondern hinterfragen Sie den Status quo.		
Verhalten oder Gewohnheiten zu verändern ist nur sinnvoll, wenn die neue Vorgehensweise effizienter ist oder mehr Spaß macht.		
Wenn also ein Problem auftritt, das alle Menschen auf die gleiche unbefriedigende Art und Weise zu lösen versuchen, sollte man sich fragen, wie es wäre, einmal genau das Gegenteil zu probieren.		
Etwas, das nicht funktioniert, sollte man sich nicht zum Vorbild nehmen.		
Aber wie nicht anders zu erwarten, unterscheiden sie sich grundlegend von den Prinzipien aller anderen Menschen.		
Nach einer Woche im Ruhestand wird die Langeweile Ihnen den Verstand rauben.		
Weniger sinnlose Arbeiten zu verrichten, um sich auf die Dinge zu konzentrieren, die von größerer persönlicher Wichtigkeit sind, ist NICHT mit Faulheit gleichzusetzen.		
Für viele Menschen ist das schwer zu akzeptieren, weil es in unserer Kultur üblich ist, persönliche Opfer höher zu bewerten als persönliche Produktivität.		
Vielen Menschen fällt es schwer, die Ergebnisse ihrer Arbeit zu bewerten. Deshalb ist ihr Maßstab die Zeit, die sie jeweils für eine Sache benötigen.		
Lassen Sie uns "Faulheit" deshalb neu definieren: Faul zu sein bedeutet, eine unbefriedigende Existenz zu ertragen, äußere Umstände oder andere Menschen über sich bestimmen zu lassen oder ein Vermögen anzuhäufen.		
Die Summe auf Ihrem Bankkonto ändert nichts daran und auch nicht die Anzahl der Stunden, die Sie im Büro damit verbringen, unwichtige E-Mails oder Kleinkram zu bearbeiten. Seien Sie lieber produktiv als beschäftigt.		
Frag lieber nicht!		
Du solltest lieber gehen.		
I warte lieber bis zum Abend.		
Ich würde lieber warten.		
Ich habe einmal meine Mutter gefragt, woher sie wusste, dass der richtige Zeitpunkt gekommen war, um ihr erstes Kind, nämlich mich, zu bekommen.		
Ihre Antwort war einfach: "Wir wollten ein Kind und wir sahen keinen Grund dafür, es aufzuschieben".
Genau so ist es. Für die wichtigen Dinge im Leben ist der Zeitpunkt immer ungünstig.		
Wenn etwas wichtig für Sie ist und Sie es "irgendwann einmal" tun wollen, dann tun Sie es einfach jetzt und korrigieren Sie, wenn nötig, den Kurs unterwegs.		
